"","state","area_nr","area_name","total_n","germans_n","foreigner_n","for_prop","pop_move_n","pop_migr_background_n","income","unemp_n","unemp_prop","votes_total","afd_votes","afd_prop","east","east_num","state_id","enjoyer","harmony_seeker","hedonist","self_determined","appreciater","type_unknown","conformist","responsibility_denier","afd_prop_log","total_n_z","germans_n_z","foreigner_n_z","for_prop_z","pop_move_n_z","pop_migr_background_n_z","income_z","unemp_n_z","unemp_prop_z","votes_total_z","afd_votes_z","afd_prop_z","afd_prop_log_z","err_avg"
"11","Niedersachsen",33,"Diepholz – Nienburg I",244.7,229.3,15.4,6.3,4086.49,32.7898,21380,11.0115,4.5,147273,12433,0.0844214486022557,"no",0,9,0.0186915887850467,0.0560747663551402,0.0934579439252336,0.121495327102804,0.158878504672897,0.317757009345794,0.0373831775700935,0.196261682242991,-2.4719337793074,-0.795730443195025,-0.589354515390483,-0.724135333544196,-0.705337996564676,0.194685883173769,-0.674918185470997,0.145294876343521,-0.837808439205834,-0.667902411461036,-0.413039876115881,-0.862120693562322,-0.790252843317923,-0.901738022933771,0.976849308872111
"12","Niedersachsen",35,"Rotenburg I – Heidekreis",214.9,199.6,15.3,7.1,5608.89,27.5072,19984,12.2493,5.7,126097,11669,0.0925398701000024,"no",0,9,0.155172413793103,0.137931034482759,0.155172413793103,0.189655172413793,0.0862068965517241,0.0632183908045977,0.0689655172413793,0.14367816091954,-2.38011569922155,-1.58264691322347,-1.64382329685083,-0.729485778715067,-0.557067631173807,1.26815061851923,-0.84977222753146,-0.451321611101667,-0.656804609487601,-0.173180311477098,-1.47087559227997,-0.953312090388997,-0.641618296793886,-0.656747220625918,0.793219567957639
"13","Niedersachsen",36,"Harburg",248.1,232.3,15.8,6.4,3299.73,29.0277,24050,10.4202,4.2,160858,16048,0.0997650101331609,"no",0,9,0.197080291970803,0.153284671532847,0.10705596107056,0.182481751824818,0.119221411192214,0.0291970802919708,0.111922141119221,0.0997566909975669,-2.30493775700735,-0.705948027151511,-0.482842517263176,-0.702733552860704,-0.686804200890817,-0.360069184601055,-0.799443682695028,1.28638801493854,-0.92427439857923,-0.79158293645702,0.265591508663544,-0.430632605174322,-0.5093382208334,-0.456155960585492,1.05489047658867
"14","Niedersachsen",37,"Lüchow-Dannenberg – Lüneburg",230.8,216.5,14.3,6.2,4731.4,27.9268,19347,14.5404,6.3,140138,12495,0.0891621116328191,"no",0,9,0.120567375886525,0.0638297872340425,0.0851063829787234,0.0921985815602837,0.127659574468085,0.312056737588652,0.127659574468085,0.0709219858156028,-2.41729908711079,-1.16278208525527,-1.04380570740033,-0.782990230423796,-0.723871792238535,0.649420606289666,-0.835883468956408,-0.723559936676584,-0.321776435091542,0.0741807385148713,-0.769464972207245,-0.854720344605183,-0.703459333031887,-0.755960665548657,0.630005277426407
"15","Niedersachsen",38,"Osnabrück-Land",265.6,241.8,23.8,9,7171.2,51.5264,21041,9.5616,3.6,150192,10939,0.0728334398636412,"no",0,9,0.183098591549296,0.140845070422535,0.0140845070422535,0.0985915492957746,0.112676056338028,0.28169014084507,0.112676056338028,0.0563380281690141,-2.61958009045698,-0.243832650456952,-0.14555452319337,-0.274697939190869,-0.204925513370491,2.36975643215399,-0.0547367890998773,0.000414511555613698,-1.04982770945019,-1.03894398644899,-0.267222797560773,-1.04044523133595,-1.00240965538522,-1.29569080644345,1.27143864335127
"16","Niedersachsen",39,"Stadt Osnabrück",254.9,232.4,22.5,8.8,5735.25,57.6074,20468,15.8038,6.2,151006,9489,0.0628385627061176,"no",0,9,0.217391304347826,0.260869565217391,0.0434782608695652,0.0869565217391304,0.173913043478261,0.0434782608695652,0.130434782608696,0.0434782608695652,-2.76718633813322,-0.526383195064482,-0.479292117325599,-0.344253726412218,-0.241993104718209,1.35724875564367,0.146544290249246,-0.24447176874961,-0.137029110430034,0.0329538968495433,-0.226559864383706,-1.21351790855935,-1.18539892667204,-1.6895366918077,0.750865769434958
"17","Niedersachsen",40,"Nienburg II – Schaumburg",246.1,230.3,15.8,6.4,2756.32,37.6533,20359,14.5199,5.9,145646,14943,0.102598080276836,"no",0,9,0.161764705882353,0.183823529411765,0.0588235294117647,0.0735294117647059,0.0588235294117647,0.301470588235294,0.0661764705882353,0.0955882352941176,-2.27693605717261,-0.75876121305946,-0.553850516014714,-0.702733552860704,-0.686804200890817,-0.743234891270837,-0.513936351987283,-0.291055720849557,-0.324774155651587,-0.0907266281464412,-0.494315788006652,-0.56252592126526,-0.457469505197885,-0.381441275829682,0.730318180002988
"18","Niedersachsen",45,"Gifhorn – Peine",280.1,263.7,16.4,5.9,3053.09,48.4573,20407,14.5652,5.2,167610,18288,0.10911043493825,"no",0,9,0.0533333333333333,0.08,0.0133333333333333,0.0933333333333333,0.0533333333333333,0.346666666666667,0.0933333333333333,0.266666666666667,-2.21539474508671,0.139062947375681,0.631983063135972,-0.670630881835464,-0.779473179260111,-0.533978368997799,-0.156323988677314,-0.270541686897287,-0.318149924365243,-0.379314519803738,0.602884045287075,-0.163265158980928,-0.338239322067875,-0.217235539781778,0.847043566562351
"19","Niedersachsen",46,"Hameln-Pyrmont – Holzminden",237.5,220.2,17.3,7.3,2517.5,37.525,20459,16.3875,6.9,138650,14052,0.101348719798053,"no",0,9,0.0833333333333333,0.0416666666666667,0.0277777777777778,0.0833333333333333,0.111111111111111,0.597222222222222,0.0277777777777778,0.0277777777777778,-2.28918803765821,-0.985857912463643,-0.912440909709982,-0.622476875297609,-0.520000039826089,-0.911630088390649,-0.518183081551581,-0.248318150115661,-0.0516745011179224,0.321541788506841,-0.84379721369063,-0.668876097407365,-0.480343179379559,-0.41413225048545,0.580759124078268
"20","Niedersachsen",48,"Hildesheim",277.1,258.1,19,6.8,3879.4,42.3963,19957,18.5657,6.7,168295,15695,0.0932588609287263,"no",0,9,0.285714285714286,0.0612244897959184,0.0408163265306122,0.183673469387755,0.163265306122449,0.142857142857143,0.0816326530612245,0.0408163265306122,-2.37237620160829,0.0598431685137571,0.433160666631666,-0.53151930739277,-0.612669018195383,0.0486639362198215,-0.356943068094356,-0.462860755199819,0.266844275657206,0.239088105176184,0.63710285269038,-0.472766850043192,-0.628454792557011,-0.636096541283014,0.586586601010021
