state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,Genieser,Harmoniesuchende,Hedonisten,Selbstbestimmte,Werschätzenden,type_unknown,Konformisten,Verantwortungsverweiterer
Brandenburg,58,Oberhavel – Havelland II,295.8,287.1,8.699999999999989,2.9,5590.62,15.085799999999999,18806,19.8186,6.7,182563,33982,0.18613848370151673,yes,1,4,0.2611464968152866,0.17197452229299362,0.08917197452229299,0.12738853503184713,0.15286624203821655,0.01910828025477707,0.10191082802547771,0.07643312101910828
Brandenburg,59,Märkisch-Oderland – Barnim II,269.3,262.1,7.199999999999989,2.7,4712.75,11.0413,18742,18.851000000000003,7,167678,34702,0.20695618984005057,yes,1,4,0.10404624277456648,0.18497109826589594,0.06358381502890173,0.2023121387283237,0.17341040462427745,0.11560693641618497,0.08670520231213873,0.06936416184971098
Brandenburg,60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,220.3,213.2,7.100000000000023,3.2,3326.53,10.1338,18930,15.421000000000001,7,126138,22631,0.17941460939605827,yes,1,4,0.075,NA,0.05,0.05,NA,0.8,NA,0.025
Brandenburg,61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,310.5,294.1,16.399999999999977,5.3,6489.45,19.5615,19217,18.63,6,193865,26133,0.13479998968354268,yes,1,4,0.11538461538461539,0.23076923076923078,NA,0.07692307692307693,0.19230769230769232,0.15384615384615385,0.038461538461538464,0.19230769230769232
Brandenburg,62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,300.9,290.2,10.699999999999989,3.6,5205.57,14.4432,19225,17.452199999999998,5.8,184910,38900,0.2103726137039641,yes,1,4,0.21348314606741572,0.12359550561797752,0.033707865168539325,0.07865168539325842,0.0898876404494382,0.3595505617977528,0.06741573033707865,0.033707865168539325
Brandenburg,63,Frankfurt (Oder) – Oder-Spree,240.5,226.1,14.400000000000006,6,5916.3,11.543999999999999,18268,19.721,8.2,137987,30475,0.22085413843333068,yes,1,4,0.14102564102564102,NA,0.11538461538461539,0.19230769230769232,0.15384615384615385,0.2692307692307692,0.07692307692307693,0.05128205128205128
Brandenburg,64,Cottbus – Spree-Neiße,217.3,209.1,8.200000000000017,3.8,1216.8799999999999,10.647700000000002,18308,19.122400000000003,8.8,130027,34902,0.2684211740638483,yes,1,4,0.14285714285714285,0.047619047619047616,NA,NA,0.14285714285714285,0.5714285714285714,NA,0.09523809523809523
Brandenburg,65,Elbe-Elster – Oberspreewald-Lausitz II,200.9,196.8,4.099999999999994,2,462.07,5.424300000000001,17818,19.2864,9.6,121144,30564,0.2522947896717955,yes,1,4,0.1347517730496454,0.15602836879432624,0.06382978723404255,0.07801418439716312,0.1347517730496454,0.2907801418439716,0.0851063829787234,0.05673758865248227
Sachsen-Anhalt,66,Altmark,201.4,194.6,6.800000000000011,3.4,1933.44,5.840599999999999,17755,19.9386,9.9,109864,18419,0.16765273428966723,yes,1,14,0.07407407407407407,0.18518518518518517,0.05555555555555555,0.05555555555555555,NA,0.6296296296296297,NA,NA
Sachsen-Anhalt,67,Börde – Jerichower Land,265.2,257.6,7.599999999999966,2.8,2439.8399999999997,7.160399999999999,19054,19.0944,7.2,148085,27947,0.18872269304791167,yes,1,14,0.041666666666666664,NA,NA,NA,0.08333333333333333,0.8333333333333334,0.041666666666666664,NA
Sachsen-Anhalt,68,Harz,257.4,248.5,8.899999999999977,3.5,3963.9599999999996,7.207199999999999,17779,19.562399999999997,7.6,141530,23859,0.16857909983749028,yes,1,14,0.04,0.04,NA,NA,0.16,0.76,NA,NA
Sachsen-Anhalt,69,Magdeburg,292.4,276.2,16.19999999999999,5.6,4532.2,18.7136,16976,29.24,10,160769,26053,0.16205238572112782,yes,1,14,0.23529411764705882,0.058823529411764705,NA,0.11764705882352941,NA,0.23529411764705882,0.29411764705882354,0.058823529411764705
Sachsen-Anhalt,70,Dessau – Wittenberg,211.4,204.4,7,3.3,1331.82,6.7648,18156,19.2374,9.1,121666,24310,0.1998093140236385,yes,1,14,0.21428571428571427,NA,NA,NA,NA,0.5,0.14285714285714285,0.14285714285714285
Sachsen-Anhalt,71,Anhalt,268.8,260.7,8.100000000000023,3,1962.24,8.8704,17535,24.7296,9.2,145518,32346,0.222281779573661,yes,1,14,NA,NA,NA,NA,NA,1,NA,NA
Sachsen-Anhalt,72,Halle,270.4,253.3,17.099999999999966,6.3,5191.679999999999,17.3056,16697,26.499200000000002,9.8,150299,26735,0.17787876166840763,yes,1,14,0.1111111111111111,NA,0.3333333333333333,NA,NA,0.2222222222222222,0.1111111111111111,0.2222222222222222
Sachsen-Anhalt,73,Burgenland – Saalekreis,231.8,222.7,9.100000000000023,3.9,1668.96,6.954000000000001,17949,20.398400000000002,8.8,129199,31780,0.24597713604594462,yes,1,14,NA,NA,NA,NA,NA,1,NA,NA
Sachsen-Anhalt,74,Mansfeld,246.7,239.7,7,2.8,1430.86,6.414199999999999,17920,25.163399999999996,10.2,137927,32982,0.23912649444996267,yes,1,14,0.04878048780487805,0.04878048780487805,NA,0.0975609756097561,NA,0.8048780487804879,NA,NA
