state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,enjoyer,harmony_seeker,hedonist,self_determined,appreciater,type_unknown,conformist,responsibility_denier,total_n_z,germans_n_z,foreigner_n_z,for_prop_z,pop_move_n_z,pop_migr_background_n_z,income_z,unemp_n_z,unemp_prop_z,votes_total_z,afd_votes_z,afd_prop_z,afd_prop_log
Schleswig-Holstein,11,Lübeck,235.3,216.5,18.80000000000001,8,2870.66,38.8245,19238,20.4711,8.7,129805,11549,0.08897191941758792,no,0,15,0.11428571428571428,0.0761904761904762,0.009523809523809525,NA,0.20952380952380953,0.06666666666666667,0.20952380952380953,0.3142857142857143,-1.0439524169623868,-1.0438057074003275,-0.5422201977345149,-0.39026347010907825,-0.6626122179659237,-0.47516963596464046,-0.7701438887765305,0.5454714344430512,1.0636249384827472,-1.2856444421318527,-0.9676353464350722,-0.7069414303424454,-2.419434471196365
Mecklenburg-Vorpommern,12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,270.9,254.6,16.299999999999983,6,7260.12,12.7323,18008,21.1302,7.8,155412,25692,0.1653154196587136,yes,1,8,0.19680851063829788,0.2127659574468085,0.02127659574468085,0.0425531914893617,0.3617021276595745,0.10106382978723404,0.05585106382978723,0.007978723404255319,-0.10387770780088744,0.30889666881647365,-0.6759813270063393,-0.7609393835862522,2.432455121241562,-1.3388213673563827,-1.295816008803451,0.6418518062052799,0.692583363494794,-0.006460498808575978,0.7204797390618793,0.6907787473481152,-1.7998999956339046
Mecklenburg-Vorpommern,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,248.8,241.3,7.5,3,2338.7200000000003,8.956800000000001,18081,17.6648,7.1,145108,25686,0.17701298343302918,yes,1,8,0.022058823529411766,NA,0.04411764705882353,0.022058823529411766,0.029411764705882353,0.8823529411764706,NA,NA,-0.687463412083728,-0.16330652288125433,-1.1468205020431548,-1.3169532538020132,-1.0376902732205628,-1.4637904045349082,-1.2646175821677068,0.13510542431356742,0.4039954718374966,-0.521191289295671,0.7197635762595757,0.904941326553194,-1.7315321963695094
Mecklenburg-Vorpommern,14,Rostock – Landkreis Rostock II,271.6,261.2,10.400000000000034,3.8,2688.84,14.938000000000002,16879,24.172400000000003,8.9,162306,25170,0.15507744630512735,yes,1,8,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.11904761904761904,0.023809523809523808,0.7142857142857143,0.07142857142857142,NA,-0.08539309273310393,0.5432230646965492,-0.9916575920878384,-1.1686828884111435,-0.7908159477219082,-1.2658127048468677,-1.7783231823891363,1.0867135373159658,1.146078621813404,0.3379255716124288,0.6581735752614546,0.5033387964712335,-1.8638306332667098
Mecklenburg-Vorpommern,15,Vorpommern-Rügen – Vorpommern-Greifswald I,292.3,282.3,10,3.4,3244.53,9.645900000000001,17287,34.7837,11.9,167411,32881,0.19640883812891627,yes,1,8,0.06875,0.03125,0.0875,0.0375,NA,0.58125,0.10625,0.0875,0.46122338141417263,1.2923574515252774,-1.013059372771332,-1.2428180711065784,-0.3989914477323406,-1.4409811968750692,-1.6039538937948408,2.638406814330893,2.3828838717732492,0.5929431070779393,1.5785621366888034,1.2600465730557857,-1.6275568834178742
Mecklenburg-Vorpommern,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,273.3,264,9.300000000000011,3.4,2241.06,9.0189,16955,31.976100000000002,11.7,154807,35597,0.2299443823599708,yes,1,8,NA,NA,NA,NA,NA,1,NA,NA,-0.0405018847113472,0.6426342629487031,-1.0505124889674418,-1.2428180711065784,-1.1065516539705877,-1.4617348947457978,-1.7458426286313755,2.227850704848821,2.3004301884425926,-0.036682949142882317,1.9027451651982936,1.8740255849367329,-1.4699178151273167
Mecklenburg-Vorpommern,17,Mecklenburgische Seenplatte II – Landkreis Rostock III,255.6,249.6,6,2.3,2172.6,6.645600000000001,17802,26.071199999999997,10.2,142477,27389,0.1922345361005636,yes,1,8,0.005405405405405406,NA,NA,0.010810810810810811,NA,0.9837837837837838,NA,NA,-0.5078985799967003,0.1313766719376283,-1.2270771796062485,-1.4466898235190242,-1.1548237216149322,-1.5402911166861486,-1.3838554045152767,1.364375576311747,1.6820275634626698,-0.6526214824023817,0.9230344516467854,1.183622173409774,-1.6490391102395567
Hamburg,18,Hamburg-Mitte,350.1,278.4,71.70000000000005,20.5,3921.12,99.07830000000001,23596,24.8571,7.1,174340,13950,0.08001606057129747,no,0,6,NA,NA,NA,NA,NA,1,NA,NA,1.987524454153912,1.153891853959777,2.2881652976572577,1.9264609891232591,0.0780812698762928,1.5192309394154262,1.0923594438066555,1.1868374040214698,0.4039954718374966,0.9390775837166313,-0.681050865046528,-0.8709080362548297,-2.5255279073160555
Hamburg,19,Hamburg-Altona,260.3,222.8,37.5,14.4,2915.36,73.6649,23596,18.481299999999997,7.1,145076,8034,0.055377870909040776,no,0,6,NA,NA,NA,NA,NA,1,NA,NA,-0.38378759311301863,-0.8201305113329821,0.4583130492187192,0.7958994530178786,-0.6310936461911324,0.6780474857185009,1.0923594438066555,0.254502440766093,0.4039954718374966,-0.5227898321232707,-1.3871873881180097,-1.321991556448891,-2.8935752071022116
Hamburg,20,Hamburg-Eimsbüttel,252.9,223.2,29.700000000000017,11.7,2832.48,71.5707,23596,17.9559,7.1,155141,9120,0.058785234077387664,no,0,6,NA,NA,NA,NA,NA,1,NA,NA,-0.5791963809724318,-0.8059289115826752,0.0409783258906329,0.2954869698236935,-0.6895334499650628,0.6087294728303356,1.0923594438066555,0.17767305626620714,0.4039954718374966,-0.01999815837981072,-1.2575619209010338,-1.2596085082774562,-2.83386457674661
